tract_id,municipality_id,intersection_area_sqm,tract_area_sqm,proportion
45083022900,4535800,2940950.127640651,17877449.839186586,0.16450613225574362
45083023001,4521265,1436670.2798767071,48726874.48429806,0.029484145968353984
45083023001,4530985,236395.92660641234,48726874.48429806,0.004851449
45083023001,4543315,6299246.519254296,48726874.48429806,0.12927663811649134
45083023002,4543315,3884547.3048606953,21950668.910919394,0.1769671494123954
45083023002,4575580,4097098.395042074,21950668.910919394,0.18665027529088035
45083023101,4521265,8267445.012447995,17023986.461255446,0.48563507914340215
45083023101,4530985,730827.6653977261,17023986.461255446,0.042929291
45083023101,4543315,785385.7194853993,17023986.461255446,0.046134066
45083023101,4568920,861668.2112341854,17023986.461255446,0.050614949277317564
45083023102,4521265,1429399.716662025,23043688.78,0.062029987063536504
45083023102,4543315,5415339.242659271,23043688.78,0.2350031410047084
45083023102,4568920,3125985.693625861,23043688.78,0.1356547436494702
45083023102,4575580,5959196.594015073,23043688.78,0.25860428215211934
45083023201,4530985,1235464.7492022843,19105825.29569668,0.064664296
45083023201,4543315,0.00,19105825.29569668,0
45083023202,4521265,3044754.7661183663,57776860.06227958,0.052698515683204744
45083023202,4530985,14360864.549847435,57776860.06227958,0.24855737287155075
45083023301,4530985,1015995.8159242774,3586536.948600575,0.28328045423335374
45083023302,4530985,4727306.775095776,6051411.018831585,0.781190826
45083023401,4568920,0.00,16123281.241802875,0
45083023401,4575580,240252.0745798639,16123281.241802875,0.014900941748566768
45083023403,4521265,23899.871712418382,21993606.472487994,0.001086674
45083023403,4559425,274620.7927781505,21993606.472487994,0.012486392039508219
45083023404,4530985,11367.34322059803,50857706.16915695,0.000223513
45083023404,4559425,4134087.599098889,50857706.16915695,0.081287339
45083023405,4530985,5784028.949677583,40647523.515760966,0.1422972040949762
45083023500,4579090,354101.9252905027,142488379.82772103,0.002485128
45083023600,4579090,9826637.793148028,51380983.58341847,0.19125048038821998
45083023700,4517845,2012832.7144333727,178031247.88663483,0.011306064178773194
45083023700,4523605,4101108.398688397,178031247.88663483,0.023035890875178634
45083023801,4561720,430042.42599482817,79668767.53667578,0.00539788
45083023900,4513060,647031.0040079859,93300273.82730931,0.006934931
45083023900,4553845,15290634.955459328,93300273.82730931,0.16388628166044789
